APC,APC_FINAL,AE,AE_FINAL,OP,OP_FINAL
DIAG_15,DIAG_15,TREAT_01,,,
DIAG_16,DIAG_16,TREAT_02,,,
DIAG_17,DIAG_17,TREAT_03,,,
DIAG_18,DIAG_18,TREAT_04,,,
DIAG_19,DIAG_19,TREAT_05,,,
DIAG_20,DIAG_20,TREAT_06,,,
DISDATE,,TREAT_07,,,
DISDEST,,TREAT_08,,,
DISMETH,,TREAT_09,,,
DISREADYDATE,,TREAT_10,,,
DOMPROC,,TREAT_11,,,
ELECDATE,,TREAT_12,,,
ELECDUR,,TRETDUR,,,
ENCRYPTED_HESID,ENCRYPTED_HESID,TRETTIME,,,
ENDAGE,,WAITDAYS,,,
EPIDUR,EPIDUR,EXTRACT_SITECODE,,,
EPIEND,,,,,
EPIKEY,EPIKEY,,,,
EPIORDER,,,,,
EPISTART,,,,,
EPISTAT,,,,,
EPITYPE,,,,,
ETHNOS,ETHNOS,,,,
FAE_EMERGENCY,,,,,
FIRSTREG,,,,,
GESTAT_1,,,,,
GESTAT_2,,,,,
GESTAT_3,,,,,
GESTAT_4,,,,,
GESTAT_5,,,,,
GESTAT_6,,,,,
GESTAT_7,,,,,
GESTAT_8,,,,,
GESTAT_9,,,,,
HRGNHS,HRGNHS,,,,
HRGNHSVN,HRGNHSVN,,,,
IMD04,IMD04,,,,
IMD04_DECILE,IMD04_DECILE,,,,
IMD04C,IMD04C,,,,
IMD04ED,IMD04ED,,,,
IMD04EM,IMD04EM,,,,
IMD04HD,IMD04HD,,,,
IMD04HS,IMD04HS,,,,
IMD04I,IMD04I,,,,
IMD04IA,IMD04IA,,,,
IMD04IC,IMD04IC,,,,
IMD04LE,IMD04LE,,,,
IMD04RK,IMD04RK,,,,
INTMANIG,,,,,
MAINSPEF,MAINSPEF,,,,
MARSTAT,,,,,
MATAGE,,,,,
MENTCAT,MENTCAT,,,,
NEOCARE,,,,,
NEODUR,,,,,
NHSNOIND,,,,,
NUMBABY,,,,,
NUMPREG,,,,,
NUMTAILB,,,,,
OPCS43,,,,,
OPDATE_01,OPDATE_01,,,,
OPDATE_02,OPDATE_02,,,,
OPDATE_03,OPDATE_03,,,,
OPDATE_04,OPDATE_04,,,,
OPDATE_05,OPDATE_05,,,,
OPDATE_06,OPDATE_06,,,,
OPDATE_07,OPDATE_07,,,,
OPDATE_08,OPDATE_08,,,,
OPDATE_09,OPDATE_09,,,,
OPDATE_10,OPDATE_10,,,,
OPDATE_11,OPDATE_11,,,,
OPDATE_12,OPDATE_12,,,,
OPDATE_13,OPDATE_13,,,,
OPDATE_14,OPDATE_14,,,,
OPDATE_15,OPDATE_15,,,,
OPDATE_16,OPDATE_16,,,,
OPDATE_17,OPDATE_17,,,,
OPDATE_18,OPDATE_18,,,,
OPDATE_19,OPDATE_19,,,,
OPDATE_20,OPDATE_20,,,,
OPDATE_21,OPDATE_21,,,,
OPDATE_22,OPDATE_22,,,,
OPDATE_23,OPDATE_23,,,,
OPDATE_24,OPDATE_24,,,,
OPERSTAT,OPERSTAT,,,,
OPERTN_01,OPERTN_01,,,,
OPERTN_02,OPERTN_02,,,,
OPERTN_03,OPERTN_03,,,,
OPERTN_04,OPERTN_04,,,,
OPERTN_05,OPERTN_05,,,,
OPERTN_06,OPERTN_06,,,,
OPERTN_07,OPERTN_07,,,,
OPERTN_08,OPERTN_08,,,,
OPERTN_09,OPERTN_09,,,,
OPERTN_10,OPERTN_10,,,,
OPERTN_11,OPERTN_11,,,,
OPERTN_12,OPERTN_12,,,,
OPERTN_13,OPERTN_13,,,,
OPERTN_14,OPERTN_14,,,,
OPERTN_15,OPERTN_15,,,,
OPERTN_16,OPERTN_16,,,,
OPERTN_17,OPERTN_17,,,,
OPERTN_18,OPERTN_18,,,,
OPERTN_19,OPERTN_19,,,,
OPERTN_20,OPERTN_20,,,,
OPERTN_21,OPERTN_21,,,,
OPERTN_22,OPERTN_22,,,,
OPERTN_23,OPERTN_23,,,,
OPERTN_24,OPERTN_24,,,,
PCFOUND,,,,,
PCONSULT,,,,,
POSOPDUR,,,,,
POSTDUR,,,,,
PREOPDUR,,,,,
PROTYPE,,,,,
RURURB_IND,RURURB_IND,,,,
SEX,SEX,,,,
SEXBABY_1,,,,,
SEXBABY_2,,,,,
SEXBABY_3,,,,,
SEXBABY_4,,,,,
SEXBABY_5,,,,,
SEXBABY_6,,,,,
SEXBABY_7,,,,,
SEXBABY_8,,,,,
SEXBABY_9,,,,,
SPELBGIN,,,,,
SPELDUR,,,,,
SPELEND,,,,,
STARTAGE,,,,,
SUBDATE,,,,,
SUSCOREHRG,SUSCOREHRG,,,,
SUSHRG,,,,,
SUSHRGVERS,,,,,
SUSRECID,,,,,
SUSSPELLID,,,,,
TRETSPEF,TRETSPEF,,,,
VIND,,,,,
WAITDAYS,,,,,
WARDSTRT,,,,,
WELL_BABY_IND,,,,,
EXTRACT_SITECODE,,,,,
